"FTPA (feat. Erik Hassle)","Sirens (Deluxe)","Gorgon City","284000","5","26","","36"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Genuine","Genuine","Shagabond","215000","5","53","","87"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Get Lucky","Get Lucky","Halestorm","188000","5","31","","332"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Ghost","Bright Nights * Dark Days","Cavo","184000","5","113","","343"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Ghost","Not a Trampoline","Rob Cantor","248000","5","86","","247"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Give Me Love (feat. Calum Scott)","FUTURE (Deluxe Edition)","Don Diablo","208000","5","61","","79"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Go the Distance (From &quot;Hercules&quot;/Soundtrack)","Disney&#39;s Greatest Volume 2","Roger Bart","194000","5","94","","217"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Goin&#39; Down","Light Me Up","The Pretty Reckless","215000","5","67","","261"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Gone (feat. Disco Fries)","Evolution","Gazzo","243000","5","66","","196"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Good Enough","Home School Valedictorian","Adelitas Way","231000","5","30","","331"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Greek Tragedy","Glitterbug (Deluxe Edition)","The Wombats","209000","5","87","","220"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Half A Man","A Place We Knew","Dean Lewis","179000","5","20","","44"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Heart on Fire","No Romeo (Deluxe)","Indiana","240000","5","42","","49"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Heart Out","The 1975","The 1975","202000","5","47","","348"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Heavydirtysoul","Blurryface","Twenty One Pilots","234000","5","107","","241"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Hell Above","Collide with the Sky","Pierce The Veil","223000","5","71","","237"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Hello","The Definitive Collection","Lionel Richie","248000","5","82","","291"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Her Eyes","Last Of Seven","Pat Monahan","195000","5","46","","5"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"High Like This","LOVELAND","Kevin George","221000","5","76","","102"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Hold My Hand","I Cry When I Laugh","Jess Glynne","227000","5","61","","226"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Holiday (feat. Nadia Ali)","Exit 110 (Feat. Nadia Ali)","iiO","217000","5","54","","86"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Holocene","Bon Iver","Bon Iver","336000","5","31","","344"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Holy Diver","Ronnie James Dio - This Is Your Life","Killswitch Engage","249000","5","14","","13"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"home (feat. WALK THE MOON)","home","morgxn","205000","5","59","","57"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Howl","Follow My Feet - EP","The Unlikely Candidates","211000","5","31","","316"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Human","Human (Deluxe)","Rag&#39;n&#39;Bone Man","200000","5","111","","197"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Hundred","Free Spirit","Khalid","277000","5","226","","64"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Hung Up (Radio Edit) (feat. Emma Gatsby)","Hung Up","Tritonal","220000","5","116","","187"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Hurt","Home School Valedictorian","Adelitas Way","236000","5","29","","330"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Hurts","Long Live The Angels (Deluxe)","Emeli Sandé","238000","5","65","","181"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Hush Hush","tryhard","The Band CAMINO","177000","5","72","","59"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"I Could Be The One [Avicii vs Nicky Romero] (Noonie Bao Acoustic Mix)","I Could Be The One [Avicii &amp; Nicky Romero] (Remixes)","Avicii","231000","5","110","","256"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"I Feel Like I&#39;m Drowning","A 20 Something Fuck","Two Feet","185000","5","53","","68"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"I Know What You Did Last Summer","Handwritten (Revisited)","Shawn Mendes","223000","5","84","","202"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"I Need Help","Knock Madness","Hopsin","257000","5","41","","278"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"I Want a Miracle (feat. Sam Martin &amp; Chris Willis) [The Magician Remix]","I Want a Miracle (feat. Sam Martin &amp; Chris Willis) [The Magician Remix]","Fred Rister","228000","5","71","","91"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"I Want Magic (Dimitri From Paris Radio Edit)","I Want Magic","Izo FitzRoy","216000","5","31","","42"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"I Will Not Be Moved","Relentless","Natalie Grant","230000","5","65","","250"
